State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Solan,Solan,Potato,Other,FAQ,17/07/2025,600,2000,1800
"Himachal Pradesh",Solan,Solan,Pumpkin,Other,FAQ,17/07/2025,1500,2000,1800
"Himachal Pradesh",Solan,Solan(Nalagarh),"Bottle gourd",Other,FAQ,17/07/2025,2000,2500,2200
"Himachal Pradesh",Solan,Solan(Nalagarh),Cauliflower,Other,FAQ,17/07/2025,5000,5500,5200
"Himachal Pradesh",Solan,Solan(Nalagarh),"French Beans (Frasbean)",Other,FAQ,17/07/2025,7000,8000,7500
"Himachal Pradesh",Solan,Waknaghat,Cabbage,Cabbage,FAQ,17/07/2025,600,600,600
"Himachal Pradesh",Solan,Waknaghat,Tomato,Deshi,FAQ,17/07/2025,600,1600,1600
"Himachal Pradesh",Una,Santoshgarh,Banana,Other,Large,17/07/2025,3200,3600,3400
"Himachal Pradesh",Una,Santoshgarh,Brinjal,Round/Long,FAQ,17/07/2025,3000,3200,3100
"Himachal Pradesh",Una,Santoshgarh,Ginger(Green),"Green Ginger",FAQ,17/07/2025,6800,7000,6900
"Himachal Pradesh",Una,Santoshgarh,Onion,Onion,FAQ,17/07/2025,1800,2000,1900
"Himachal Pradesh",Una,Santoshgarh,Ridgeguard(Tori),Other,FAQ,17/07/2025,5000,5000,5000
"Jammu and Kashmir",Anantnag,Kulgam,Onion,Red,FAQ,17/07/2025,2250,2550,2500
"Jammu and Kashmir",Anantnag,Kulgam,Potato,Potato,FAQ,17/07/2025,1250,1550,1500
"Jammu and Kashmir",Kathua,Kathua,Banana,Other,Medium,17/07/2025,4000,4500,4250
"Jammu and Kashmir",Kathua,Kathua,"Bitter gourd",Other,FAQ,17/07/2025,4000,4500,4250
"Jammu and Kashmir",Kathua,Kathua,"Knool Khol",Other,FAQ,17/07/2025,3000,3500,3250
"Jammu and Kashmir",Kathua,Kathua,Lemon,Other,FAQ,17/07/2025,3500,4000,3750
"Jammu and Kashmir",Kathua,Kathua,"Mousambi(Sweet Lime)",Other,Medium,17/07/2025,4000,5000,4500
"Jammu and Kashmir",Kathua,Kathua,Onion,Other,FAQ,17/07/2025,1500,2000,1750
"Jammu and Kashmir",Kathua,Kathua,Papaya,Other,Medium,17/07/2025,3500,4000,3750
"Jammu and Kashmir",Kathua,Kathua,"Peas Wet",Other,FAQ,17/07/2025,8000,9000,8500
"Jammu and Kashmir",Kathua,Kathua,Plum,Other,Medium,17/07/2025,5000,6000,5500
"Jammu and Kashmir",Kathua,Kathua,Potato,Other,FAQ,17/07/2025,1000,1500,1250
"Jammu and Kashmir",Kathua,Kathua,Raddish,Other,FAQ,17/07/2025,1500,2000,1750
Karnataka,Bangalore,Ramanagara,Alsandikai,Alsandikai,Local,17/07/2025,3200,3600,3400
Karnataka,Bangalore,Ramanagara,Beetroot,Beetroot,Local,17/07/2025,3000,3500,3200
Karnataka,Bangalore,Ramanagara,"Bottle gourd","Bottle Gourd",Local,17/07/2025,1500,2000,1800
Karnataka,Bangalore,Ramanagara,"Chilly Capsicum","Chilly Capsicum",Local,17/07/2025,4000,5500,5000
Karnataka,Bangalore,Ramanagara,"Green Avare (W)","Green Avare (W)",Local,17/07/2025,3200,4000,3500
Karnataka,Bangalore,Ramanagara,"Knool Khol","Knool Khol",Local,17/07/2025,2000,2800,2500
Karnataka,Bangalore,Ramanagara,Ridgeguard(Tori),Ridgeguard(Tori),Local,17/07/2025,3000,3800,3500
Karnataka,Bangalore,Ramanagara,Snakeguard,Snakeguard,Local,17/07/2025,2400,2800,2600
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beetroot,Beetroot,Local,17/07/2025,800,1200,1000
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,Local,17/07/2025,800,1000,900
Karnataka,Chamrajnagar,"Chamaraj Nagar",Raddish,Raddish,Local,17/07/2025,1200,2000,1600
Karnataka,Kolar,Chintamani,Beetroot,Beetroot,Local,17/07/2025,1000,1800,1500
Karnataka,Kolar,Chintamani,Potato,Local,Local,17/07/2025,1200,2000,1800
Karnataka,Kolar,Chintamani,Tomato,Tomato,Local,17/07/2025,330,2660,1530
Kerala,Alappuzha,Chengannur,Beetroot,Beetroot,FAQ,17/07/2025,3900,4200,4000
Kerala,Alappuzha,Chengannur,"Cluster beans","Cluster Beans",FAQ,17/07/2025,6500,7000,6800
Kerala,Alappuzha,Chengannur,Ginger(Green),"Green Ginger",FAQ,17/07/2025,0,0,6000
Kerala,Alappuzha,Cherthala,Ridgeguard(Tori),Other,FAQ,17/07/2025,4000,5000,4500
Kerala,Alappuzha,Harippad,"Bottle gourd",Other,FAQ,17/07/2025,1500,2000,1500
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,17/07/2025,6000,6500,6000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,17/07/2025,3000,3500,3000
Kerala,Alappuzha,Harippad,Ginger(Green),Other,FAQ,17/07/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Lemon,Other,FAQ,17/07/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Mango,Other,Medium,17/07/2025,5000,5500,5000
Kerala,Alappuzha,Mannar,Amphophalus,Other,FAQ,17/07/2025,6000,6200,6100
Kerala,Alappuzha,Mannar,Capsicum,Other,FAQ,17/07/2025,7500,7700,7600
Kerala,Alappuzha,"THAMARAKKULAM VFPCK",Egg,Egg,FAQ,17/07/2025,8.2,8.5,8.3
Kerala,Ernakulam,Aluva,Banana,Palayamthodan,Medium,17/07/2025,3000,3200,3100
Kerala,Ernakulam,Aluva,Cabbage,Cabbage,FAQ,17/07/2025,3000,4000,3500
Kerala,Ernakulam,Aluva,Ginger(Green),"Green Ginger",FAQ,17/07/2025,4000,8000,6000
Kerala,Ernakulam,Angamaly,"Bitter gourd","Bitter Gourd",FAQ,17/07/2025,4500,6000,5000
Kerala,Ernakulam,Angamaly,"Bottle gourd","Bottle Gourd",FAQ,17/07/2025,3000,4000,3500
Kerala,Ernakulam,Angamaly,Brinjal,Brinjal,FAQ,17/07/2025,4000,5000,4500
Kerala,Ernakulam,Angamaly,Colacasia,Other,FAQ,17/07/2025,4600,6500,5000
Kerala,Ernakulam,Angamaly,Drumstick,Drumstick,FAQ,17/07/2025,3600,6000,5000
Kerala,Ernakulam,Angamaly,Tomato,Other,FAQ,17/07/2025,3600,5000,4500
Kerala,Ernakulam,"KURUMASSERY VFPCK",Banana,Robusta,Large,17/07/2025,1300,2000,1500
Kerala,Ernakulam,"North Paravur",Amphophalus,Amphophalus,FAQ,17/07/2025,6500,7000,6800
Kerala,Ernakulam,"North Paravur","Black pepper",Garbled,FAQ,17/07/2025,75000,95000,80000
Kerala,Ernakulam,"North Paravur",Brinjal,"Arkasheela Mattigulla",FAQ,17/07/2025,3500,4500,4000
Kerala,Ernakulam,"North Paravur",Colacasia,Colacasia,FAQ,17/07/2025,5000,6000,5500
